CurrentTime,Line,TripID,Destination,StopID,Stop,SecondsAway,PosTimestamp,TrainNumber,PosLatitude,PosLongitude,PosHeading,Note
1381322876,Orange,O9860F76E,Oak Grove,70001,Forest Hills,788,,,,,,
1381322876,Orange,O9860F76E,Oak Grove,70003,Green Street,881,,,,,,
1381322876,Orange,O9860F76E,Oak Grove,70005,Stony Brook,987,,,,,,
1381322876,Orange,O9860F76E,Oak Grove,70007,Jackson Square,1110,,,,,,
1381322876,Orange,O9860F823,Forest Hills,70036,Oak Grove,1129,,,,,,
1381322876,Orange,O9860F77C,Oak Grove,70001,Forest Hills,1197,,,,,,
1381322876,Orange,O9860F7C8,Forest Hills,70030,Sullivan,97,1381322866,1317,42.39209,-71.07735,175,
1381322876,Orange,O9860F7C8,Forest Hills,70028,Community College,261,1381322866,1317,42.39209,-71.07735,175,
1381322876,Orange,O9860F7C8,Forest Hills,70026,North Station,433,1381322866,1317,42.39209,-71.07735,175,
1381322876,Orange,O9860F7C8,Forest Hills,70024,Haymarket,525,1381322866,1317,42.39209,-71.07735,175,
1381322876,Orange,O9860F7C8,Forest Hills,70022,State Street,630,1381322866,1317,42.39209,-71.07735,175,
1381322876,Orange,O9860F7C8,Forest Hills,70020,Downtown Crossing,750,1381322866,1317,42.39209,-71.07735,175,
1381322876,Orange,O9860F7C8,Forest Hills,70018,Chinatown,855,1381322866,1317,42.39209,-71.07735,175,
1381322876,Orange,O9860F7C8,Forest Hills,70016,Tufts Medical,927,1381322866,1317,42.39209,-71.07735,175,
1381322876,Orange,O9860F7C8,Forest Hills,70014,Back Bay,1026,1381322866,1317,42.39209,-71.07735,175,
1381322876,Orange,O9860F7C8,Forest Hills,70012,Mass Ave,1197,1381322866,1317,42.39209,-71.07735,175,
1381322876,Orange,O9860F7EE,Forest Hills,70032,Wellington,149,1381322857,1270,42.42462,-71.07519,200,
1381322876,Orange,O9860F7EE,Forest Hills,70030,Sullivan,477,1381322857,1270,42.42462,-71.07519,200,
1381322876,Orange,O9860F7EE,Forest Hills,70028,Community College,641,1381322857,1270,42.42462,-71.07519,200,
1381322876,Orange,O9860F7EE,Forest Hills,70026,North Station,813,1381322857,1270,42.42462,-71.07519,200,
1381322876,Orange,O9860F7EE,Forest Hills,70024,Haymarket,905,1381322857,1270,42.42462,-71.07519,200,
1381322876,Orange,O9860F7EE,Forest Hills,70022,State Street,1010,1381322857,1270,42.42462,-71.07519,200,
1381322876,Orange,O9860F7EE,Forest Hills,70020,Downtown Crossing,1130,1381322857,1270,42.42462,-71.07519,200,
1381322876,Orange,O9860F76D,Forest Hills,70012,Mass Ave,-1,1381322847,1310,42.34367,-71.08084,220,
1381322876,Orange,O9860F76D,Forest Hills,70010,Ruggles,81,1381322847,1310,42.34367,-71.08084,220,
1381322876,Orange,O9860F76D,Forest Hills,70008,Roxbury Crossing,181,1381322847,1310,42.34367,-71.08084,220,
1381322876,Orange,O9860F76D,Forest Hills,70006,Jackson Square,274,1381322847,1310,42.34367,-71.08084,220,
1381322876,Orange,O9860F76D,Forest Hills,70004,Stony Brook,379,1381322847,1310,42.34367,-71.08084,220,
1381322876,Orange,O9860F76D,Forest Hills,70002,Green Street,469,1381322847,1310,42.34367,-71.08084,220,
1381322876,Orange,O9860F76D,Forest Hills,70001,Forest Hills,624,1381322847,1310,42.34367,-71.08084,220,
1381322876,Orange,O9860F7B5,Forest Hills,70026,North Station,55,1381322852,1249,42.37147,-71.066,125,
1381322876,Orange,O9860F7B5,Forest Hills,70024,Haymarket,147,1381322852,1249,42.37147,-71.066,125,
1381322876,Orange,O9860F7B5,Forest Hills,70022,State Street,252,1381322852,1249,42.37147,-71.066,125,
